5,10,15,20,Half,25,30,35,40,Finish
34:42,35:54,38:18,37:52,08:19,30:32,41:36,43:31,42:42,18:15
28:47,29:13,30:16,31:57,07:18,28:46,44:26,45:52,46:08,19:36
31:03,31:37,32:20,32:14,07:05,25:35,32:53,33:28,32:24,13:03
32:42,33:29,33:52,35:13,07:54,27:00,34:51,36:31,39:37,14:56
36:37,36:58,38:11,37:50,07:47,29:23,38:08,37:59,37:56,16:08
24:28,24:36,24:38,24:17,05:14,19:13,25:16,26:13,27:39,12:26
34:36,33:52,35:53,38:15,08:39,33:11,40:20,45:05,45:40,18:28
31:55,31:21,32:33,31:37,07:16,25:23,31:50,32:45,36:51,14:52
-,-,-,-,-,-,-,-,-,-
29:28,31:49,35:37,36:22,07:43,33:04,42:46,46:12,45:37,17:12
33:51,33:38,34:56,36:54,07:48,30:54,44:25,46:47,46:33,21:02
34:35,34:06,35:07,36:59,08:17,30:27,40:07,44:28,54:36,19:35
29:59,30:54,32:24,33:43,07:47,27:16,37:02,52:44,45:13,18:41
36:58,40:18,40:38,50:20,09:59,37:38,42:32,46:54,51:09,21:46
38:33,38:49,39:36,40:18,09:08,33:49,44:49,50:13,47:35,18:46
31:43,31:27,34:08,34:49,07:31,31:09,33:37,36:14,35:18,14:57
28:32,29:08,30:04,29:57,06:32,23:34,31:30,34:24,35:49,14:56
28:42,29:13,28:45,29:30,06:27,23:44,33:10,35:41,36:20,14:58
34:45,34:36,34:37,34:58,07:26,27:27,35:52,36:57,38:19,17:24
30:47,31:40,32:33,33:07,07:15,27:14,34:21,35:33,36:02,15:46
24:33,24:31,24:30,24:22,05:19,19:17,25:01,32:06,38:33,13:21
43:00,37:53,49:31,41:50,09:17,38:10,47:50,54:29,50:51,19:09
31:27,31:37,32:03,32:27,07:00,26:18,35:24,38:58,39:10,16:29
-,-,-,-,-,-,-,-,-,-
31:30,34:25,32:53,34:14,07:34,27:28,36:32,43:44,38:15,15:29
31:47,31:48,31:40,33:20,06:56,24:46,34:00,36:12,36:55,16:59
32:02,32:01,40:36,42:35,07:25,38:29,44:10,43:12,41:26,18:14
-,-,-,-,-,-,-,-,-,-
32:30,31:21,34:10,35:08,07:56,28:14,36:34,38:28,38:25,15:05
25:03,26:06,26:25,26:38,05:57,21:37,27:49,29:11,32:15,13:08
25:06,25:12,25:03,25:09,05:23,19:41,26:24,27:08,29:09,13:05
30:28,31:47,29:52,30:38,06:41,24:56,33:07,35:12,34:50,14:11
32:39,34:39,40:05,37:45,08:36,36:03,41:42,41:07,39:16,17:55
30:28,29:57,31:04,31:17,06:43,24:14,31:24,32:33,32:57,13:58
36:32,45:47,38:36,45:45,08:33,33:19,43:57,44:05,47:22,16:58
